Actions,Partner ID,Type,Partner Name,Email Address,Contact Number,Website,Primary Email,Primary Contact,Other Contacts,Address,City,State,Country,PIN/ZIP Code,Other Locations
,132,NGO,IIT Kharagpur - Prof Suman Chakraworthy,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,133,NGO,SEVAK Foundation,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,134,NGO,ArogyaWorld,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,135,NGO,Swavalamban,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,136,NGO,RuralShores ,info@ruralshores.com,+91 8040906737,https://www.ruralshores.com,ajaykumar1977@live.com,+91 9773342277,-,-,-,-,-,-,-
,137,NGO,PARFI,dirsec@paniitalumnifoundation.org,+91 9930778244,https://paniitalumnifoundation.org/,-, -,-,-,-,-,-,-,-
,138,NGO,Raah Foundation,vidya@raahfoundation.org,+91 9821615426,,-, -,-,-,-,-,-,-,-
,139,NGO,Diksha Foundation,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,140,NGO,IEEE ISV,satish.chetwani@erda.org,+91 9978940913,https://smartvillage.ieee.org/,p.sundar@ieee.org,+91 8593874056,-,-,-,-,-,-,-
,141,NGO,MSS,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,142,NGO,Samta Foundation,samta@samtafoundation.org,+91 2269693200,,-, -,-,-,-,-,-,-,-
,143,NGO,IIT Kgp,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,144,NGO,Rotary,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,146,NGO,Grameen Vikas Kendram,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,147,NGO,Bhartiya Jain Sanghatana (BJS),connect@bjsindia.org,+91 2066050000,https://mutthafoundation.org/mulyavardhan/,-, -,-,-,-,-,-,-,-
,148,NGO,IIT-IIT.org,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,149,NGO,AOL Social Impact Projects,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,150,NGO,Global Vikas Trust,connect@globalvikastrust.org,+91 8591314651,https://www.globalvikastrust.org,mayankgandhi04@gmail.com,+91 9920788909,-,-,-,-,-,-,-
,151,NGO,Urdhvam Environmental Technologies Pvt. Ltd.,info@borecharger.com,+91 9117174040,http://www.borecharger.com,rahul@urdhvam.com,+91 7774034634,-,-,-,-,-,-,-
,152,NGO,WaterBarter,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,153,NGO,PSI,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,154,NGO,Taraltech,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,155,NGO,Yamuna Expressway Industrial Development Authority (YEIDA),customercareyeida@gmail.com,+91 9311407487,https://www.yamunaexpresswayauthority.com/,-, -,-,-,-,-,-,-,-
,156,NGO,WaterAid India,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,157,NGO,Maithri Aquatech,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,158,NGO,EcoFiltro,Email TBD, Mobile TBD,,-, -,-,-,-,-,-,-,-
,500,NGO,Maitrayana charity foundation,kalyani@maitrayana.in,+91 9740077899,https://maitrayana.in/,kalyani@maitrayana.in,+91 9740077899,-,"E-257, G/F, Amar Colony, Lajpat Nagar-IV, ",Delhi,Delhi,India,110024,-
,501,Commerical,Bamboopecker,babukiyer@gmail.com,+91 9844777402,www.bamboopecker.com,babukiyer@gmail.com,+91 9844777402,-,"184 kattigenahally boundary, Hosakote",Bangalore rural,Karnataka,India,562114,-
,502,NGO,Ekaagra Social & Microfinance Foundation,ekaagra@ekaagra.net,+91 9702930333,https://ekaagrafoundation.org.in,biren_vora@yahoo.co.in,+91 9702930333,-,"B-501 Pooja Enclave St Braz Road, Vi",Mumbai,Maharashtra,India,400056,-
,503,NGO,Moinee Foundation,srm@moinee.org,+91 9376506173,https://www.moinee.org/index.php,arvind.thanvi@moinee.org, TBD,"Vinay Kumar Bissa (vinaybissa@moinee.org, +91 8233025926)","G-36/37, Cinestar, Central Spine Vidyadhar Nagar",Jaipur,Rajasthan,India,302039,-
,506,NGO,WHEELS Global Organization,info@wheelsglobal.org,+1 9179918372,https://wheelsglobal.org,info@ypointanalytics.com,+91 9876543210,-,5 Golf Links Ground Floor,Delhi,Delhi,India,110003,-
,508,Individual,RWH - Eco Terrain based Solutions ,ramkumarioc@gmail.com,+91 9769547632,www.linkedin.com/in/g-ramkumar,ramkumarioc@gmail.com,+91 9769547632,-,"B1, SAI SMARAN , PLOT NO. 312 3RD MAIN ROAD, KAMAKOTI NAGAR , PALLIKARANAI",Chennai,Tamil Nadu,India,600100,-
